en,is
Afghanistan,Afganistan
Albania,Albanía
Algeria,Alsír
Andorra,Andorra
Angola,Angóla
Anguilla,Angvilla
Antigua and Barbuda,Antígva og Barbúda
Argentina,Argentína
Armenia,Armenía
Aruba,Aruba
Australia,Ástralía
Austria,Austurríki
Azerbaijan,Aserbaídsjan
Bahamas,Bahamas
Bahrain,Bahrein
Bangladesh,Bangladess
Barbados,Barbadoseyjar
Belarus,Hvíta-rússland
Belgium,Belgía
Belize,Belís
Benin,Benín
Bermuda,Bermúda
Bhutan,Bhutan
Bolivia,Bólivía
Bonaire Sint Eustatius and Saba,Bonaire Sint Eustatius and Saba
Bosnia and Herzegovina,Bosnía og Hersegóvína
Botswana,Botsvana
Brazil,Brasilía
British Virgin Islands,Bresku Jómfrúareyjar
Brunei,Brúnei
Bulgaria,Búlgaría
Burkina Faso,Búrkína Fasó
Burundi,Búrúndí
Cambodia,Kambódía
Cameroon,Kamerún
Canada,Kanada
Cape Verde,Grænhöfðaeyjar
Cayman Islands,Cayman-eyjar
Central African Republic,Mið-Afríkulýðveldið
Chad,Tsjad
Chile,Síle
China,Kína
Colombia,Kólumbía
Comoros,Kómoreyjar
Congo,Kongó
Costa Rica,Kosta Ríka
Cote d'Ivoire,Fílabeinsströndin
Croatia,Króatía
Cuba,Kúba
Curacao,Curaçao
Cyprus,Kýpur
Czech Republic,Tékkland
Democratic Republic of Congo,Lýðstjórnarlýðveldið Kongó
Denmark,Danmörk
Djibouti,Djíbútí
Dominica,Dóminíka
Dominican Republic,Dóminíska lýðveldið
Ecuador,Ekvador
Egypt,Egyptaland
El Salvador,El Salvador
Equatorial Guinea,Miðbaugs-Gínea
Eritrea,Erítrea
Estonia,Eistland
Ethiopia,Eþíópía
Faeroe Islands,Færeyjar
Falkland Islands,Falklandseyjar
Fiji,Fídjieyjar
Finland,Finnland
France,Frakkland
French Polynesia,Franska Pólýnesía
Gabon,Gabon
Gambia,Gambía
Georgia,Georgía
Germany,Þýskaland
Ghana,Gana
Gibraltar,Gíbraltar
Greece,Grikkland
Greenland,Grænland
Grenada,Grenada
Guam,Gvam
Guatemala,Gvatemala
Guernsey,Guernsey
Guinea,Gínea
Guinea-Bissau,Gínea-Bissá
Guyana,Gvæjana
Haiti,Haítí
Honduras,Hondúras
Hungary,Hungary
Iceland,Ísland
India,Indland
Indonesia,Indónesía
Iran,Íran
Iraq,Írak
Ireland,Írland
Isle of Man,Mön
Israel,Ísrael
Italy,Ítalía
Jamaica,Jamaíka
Japan,Japan
Jersey,Jersey
Jordan,Jórdanía
Kazakhstan,Kasakstan
Kenya,Kenía
Kosovo,Kósovó
Kuwait,Kúveit
Kyrgyzstan,Kirgistan
Laos,Laos
Latvia,Lettland
Lebanon,Líbanon
Lesotho,Lesótó
Liberia,Líbería
Libya,Líbía
Liechtenstein,Liechtenstein
Lithuania,Litháen
Luxembourg,Lúxemborg
Macedonia,Makedónía
Madagascar,Madagaskar
Malawi,Malaví
Malaysia,Malasía
Maldives,Maldívur
Mali,Malí
Malta,Malta
Mauritania,Máritanía
Mauritius,Máritíus
Mexico,Mexíkó
Moldova,Moldóva
Monaco,Mónakó
Mongolia,Mongolía
Montenegro,Svartfjallaland
Montserrat,Montserrat
Morocco,Marokkó
Mozambique,Mósambík
Myanmar,Mjanmar
Namibia,Namibía
Nepal,Nepal
Netherlands,Holland
New Caledonia,Nýja-Kaledónía
New Zealand,Nýja Sjáland
Nicaragua,Níkaragva
Niger,Níger
Nigeria,Nígería
Northern Mariana Islands,Norður-Maríanaeyjar
Norway,Noregun
Oman,Óman
Pakistan,Pakistan
Palestine,Palestína
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paragvæ
Peru,Perú
Philippines,Filippseyjar
Poland,Póland
Portugal,Portúgal
Puerto Rico,Púertó Ríkó
Qatar,Katar
Romania,Rúmenía
Russia,Rússland
Rwanda,Rúanda
Saint Kitts and Nevis,Sankti Kristófer og Nevis
Saint Lucia,Sankti Lúsía
Saint Vincent and the Grenadines,Sankti Vinsent og Grenadíneyjar
San Marino,San Marinó
Sao Tome and Principe,Saó Tóme og Prinsípe
Saudi Arabia,Sádi-Arabía
Senegal,Senegal
Serbia,Serbía
Seychelles,Seychelles-eyjar
Sierra Leone,Síerra Leóne
Singapore,Singapúr
Sint Maarten (Dutch part),Saint Martin (hollenski hluti)
Slovakia,Slóvakía
Slovenia,Slóvenía
Somalia,Sómalía
South Africa,Suður-Afríka
South Korea,Suður-Kórea
South Sudan,Suður-Súdan
Spain,Spánn
Sri Lanka,Srí Lanka
Sudan,Sídan
Suriname,Súrínam
Swaziland,Svasíland
Sweden,Svíþjóð
Switzerland,Sviss
Syria,Sýrland
Taiwan,Taívan
Tajikistan,Tadsjikistan
Tanzania,Tansanía
Thailand,Taíland
Timor,Austur-Tímór
Togo,Tógó
Trinidad and Tobago,Trínidad og Tóbagó
Tunisia,Túnis
Turkey,Tyrkland
Turks and Caicos Islands,Turks- og Caicoseyjar
Uganda,Úganda
Ukraine,Úkraína
United Arab Emirates,Sameinuðu arabísku furstadæmin
United Kingdom,Bretland
United States,Bandaríkin
United States Virgin Islands,Bandarísku Jómfrúaeyjar
Uruguay,Úrúgvæ
Uzbekistan,Úsbekistan
Vatican,Vatíkanið
Venezuela,Venesúela
Vietnam,Víetnam
Western Sahara,Vestur-Sahara
Yemen,Jemen
Zambia,Sambía
Zimbabwe,Simbabve
